"","last name","first name","two letter state abbreviation","Number of commemorative bills receiving action beyond committee","Number of commemorative bills receiving action in committee","Number of commemorative bills sponsored by this senator","Number of commemorative bills becoming law","Number of commemorative bills passing Senate","Number of substantive bills receiving action beyond committee","Number of substantive bills receiving action in committee","Number of substantive bills sponsored by this senator","Number of substantive bills becoming law","Number of substantive bills passing Senate","Number of SS bills receiving action beyond committee","Number of SS bills receiving action in committee","Number of substantive and significant (SS) bills sponsored by this senator","Number of SS bills becoming law","Number of SS bills passing Senate","congress","Observation number order based on scraping congress.gov","ID","yearcongStart","dem","majority","yearStart","female","Black","latinx","percent_vote","1st-dimension DW-NOMINATE score","chair","subchair","currterms","stateLeg","state_leg X squire index","majLeader","minLeader","votepct squared","totalSponsored","Total number of bills receiving action in committee","Total number of bills receiving action beyond committee","totalSenate","totalLaw","legeffictive","lagged legislative effectiveness score","distrance from legislative median in DW-NOMINATE","powrcmte","freshman","seniority squared","distance from majority party median dwnom1","number of members in state congressional delegation","Benchmark score based on majority, seniority, chairs","1 = Below, 2 = Meets, 3 = Exceeds"
"1","Abourezk","James","SD",1,0,6,0,1,0,0,25,0,0,0,0,0,0,0,93,1,13000,1972,1,1,1972,0,0,0,57,-0.703999996185303,0,0,1,0,0,0,0,3249,31,0,1,1,0,0.175186008214951,NA,0.578000009059906,0,1,1,0.390491187572479,2,0.420970678329468,1
"2","Aiken","George","VT",2,0,2,0,2,0,0,3,0,0,2,0,2,1,1,93,2,52,1972,0,0,1940,0,0,0,73,0.0989999994635582,0,0,17,1,0.129999995231628,0,0,5329,7,0,4,3,1,0.406818479299545,NA,0.224999994039536,1,0,289,0.41250878572464,1,1.02890861034393,1
"3","Allen","James","AL",0,0,5,0,0,2,0,14,0,1,0,0,2,0,0,93,3,12100,1972,1,1,1968,0,0,0,70,0.0670000016689301,0,1,3,1,0.0850000008940697,0,0,4900,21,0,2,1,0,0.214118793606758,NA,0.193000003695488,0,0,9,0.380508810281754,7,0.942945182323456,1
"4","Baker","Howard","TN",1,0,2,0,1,1,0,18,0,1,3,0,5,2,3,93,4,11200,1972,0,0,1966,0,0,0,62,0.257999986410141,0,0,4,0,0,0,0,3844,25,0,5,5,2,0.934895277023315,NA,0.383999973535538,0,0,16,0.571508765220642,8,0.461136072874069,3
"5","Bartlett","Dewey","OK",1,0,3,0,1,5,0,16,3,5,0,0,0,0,0,93,5,14100,1972,0,0,1972,0,0,0,52,0.435000002384186,0,0,1,1,0.248999997973442,0,0,2704,19,0,6,6,3,0.658873677253723,NA,0.560999989509583,0,1,1,0.748508810997009,6,0.330111652612686,3
"6","Bayh","Birch","IN",0,0,6,0,0,4,0,39,1,3,2,0,2,2,2,93,6,10800,1972,1,1,1962,0,0,0,52,-0.402999997138977,0,1,6,1,0.14300000667572,0,0,2704,47,0,6,5,3,1.12035822868347,NA,0.27700001001358,1,0,36,0.0894911959767342,11,1.07396960258484,2
"7","Beall","J.","MD",0,0,10,0,0,1,0,37,0,1,1,0,1,0,1,93,7,12002,1972,0,0,1970,0,0,0,51,0.171000003814697,0,0,2,1,0.252000004053116,0,0,2601,48,0,2,2,0,0.452131718397141,NA,0.296999990940094,0,0,4,0.484508812427521,8,0.373786449432373,2
"8","Bellmon","Henry","OK",0,0,4,0,0,2,0,52,1,2,2,0,2,1,2,93,8,12101,1972,0,0,1968,0,0,0,52,0.316000014543533,0,0,3,1,0.248999997973442,0,0,2704,58,0,4,4,2,0.960334956645966,NA,0.44200000166893,1,0,9,0.629508793354034,6,0.417461276054382,3
"9","Bennett","Wallace","UT",3,0,11,0,3,0,0,18,0,0,0,0,1,0,0,93,9,645,1972,0,0,1950,0,0,0,54,0.504000008106232,0,0,12,0,0,0,1,2916,30,0,3,3,0,0.176958218216896,NA,0.629999995231628,1,0,144,0.817508816719055,2,0.810534596443176,1
"10","Bentsen","Lloyd","TX",4,0,17,1,4,0,0,39,0,0,4,0,4,2,3,93,10,660,1972,1,1,1970,0,0,0,53,-0.137999996542931,0,1,2,0,0,0,0,2809,60,0,8,7,3,1.11938762664795,NA,0.0119999963790178,1,0,4,0.175508797168732,24,0.899270355701447,2
"11","Bible","Alan","NV",0,0,3,0,0,2,0,23,1,2,2,0,3,1,1,93,11,688,1972,1,1,1954,0,0,0,55,-0.209999993443489,0,1,10,0,0,0,0,3025,29,0,4,3,2,0.720625281333923,NA,0.0839999914169312,1,0,100,0.103508807718754,1,1.24866890907288,2
"12","Biden","Joseph","DE",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,93,12,14101,1972,1,1,1972,0,0,0,51,-0.40200001001358,0,1,1,0,0,0,0,2601,19,0,0,0,0,0.117436110973358,NA,0.276000022888184,0,1,1,0.0884912088513374,1,0.855595529079437,1
"13","Brock","Bill","TN",0,0,2,0,0,0,0,34,0,0,2,0,3,1,2,93,13,10571,1972,0,0,1970,0,0,0,51,0.374000012874603,0,0,2,0,0,0,0,2601,39,0,2,2,1,0.655881464481354,NA,0.5,0,0,4,0.687508821487427,8,0.373786449432373,3
"14","Brooke","Edward","MA",0,0,11,0,0,1,0,13,0,1,0,0,0,0,0,93,14,11201,1972,0,0,1966,0,1,0,35,-0.172999992966652,0,0,4,0,0,0,0,1225,24,0,1,1,0,0.160187870264053,NA,0.0469999946653843,1,0,16,0.14050880074501,12,0.461136072874069,1
"15","Buckley","James","NY",0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,93,15,13100,1972,0,0,1970,0,0,0,39,0.495000004768372,0,0,2,0,0,0,0,1521,22,0,0,0,0,0.126089304685593,NA,0.620999991893768,0,0,4,0.808508813381195,39,0.373786449432373,1
"16","Burdick","Quentin","ND",2,0,5,0,2,2,0,36,0,2,6,0,8,3,6,93,16,1252,1972,1,1,1960,0,0,0,61,-0.344999998807907,0,1,7,0,0,0,0,3721,49,0,10,10,3,1.70508408546448,NA,0.218999996781349,0,0,49,0.0314911976456642,1,1.11764442920685,3
"17","Byrd","Harry","VA",0,0,0,0,0,2,0,6,0,2,0,0,0,0,0,93,17,10802,1972,0,1,1966,0,0,0,54,0.108000002801418,0,1,5,1,0.164000004529953,0,0,2916,6,0,2,2,0,0.169563069939613,NA,0.233999997377396,1,0,25,0.4215087890625,10,1.03029477596283,1
"18","Byrd","Robert","WV",1,0,3,0,1,2,0,19,0,1,4,0,5,0,4,93,18,1366,1972,1,1,1958,0,0,0,78,-0.259999990463257,0,1,8,1,0.150000005960464,1,0,6084,27,0,7,6,0,0.822795450687408,NA,0.133999988436699,1,0,64,0.0535088106989861,4,1.16131925582886,2
"19","Cannon","Howard","NV",1,0,3,0,1,8,0,15,5,7,5,0,5,4,5,93,19,1482,1972,1,1,1958,0,0,0,58,-0.190999999642372,1,1,8,1,0.129999995231628,0,0,3364,23,0,14,13,9,2.2459089756012,NA,0.0649999976158142,1,0,64,0.122508801519871,1,2.26155209541321,2
"20","Case","Clifford","NJ",0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,93,20,1569,1972,0,0,1954,0,0,0,63,-0.256000012159348,0,0,10,1,0.174999997019768,0,0,3969,15,0,0,0,0,0.0828233659267426,NA,0.13000001013279,1,0,100,0.0575087890028954,15,0.723184943199158,1
"21","Chiles","Lawton","FL",1,0,6,1,1,4,0,35,1,3,2,0,2,2,2,93,21,13101,1972,1,1,1970,0,0,0,54,-0.208000004291534,0,0,2,1,0.224000006914139,0,0,2916,43,0,7,6,4,1.12300455570221,NA,0.0820000022649765,1,0,4,0.105508796870708,15,0.464645504951477,3
"22","Church","Frank","ID",0,0,0,0,0,4,0,36,2,3,3,0,4,1,3,93,22,1721,1972,1,1,1956,0,0,0,60,-0.368000000715256,0,1,9,0,0,0,0,3600,40,0,7,6,3,1.1809903383255,NA,0.241999998688698,1,0,81,0.0544911995530128,2,1.20499408245087,2
"23","Clark","Dick","IA",0,0,2,0,0,0,0,15,0,0,2,0,2,1,2,93,23,14102,1972,1,1,1972,0,0,0,55,-0.537999987602234,0,1,1,0,0,0,0,3025,19,0,2,2,1,0.526083648204803,NA,0.412000000476837,0,1,1,0.224491193890572,6,0.855595529079437,2
"24","Cook","Marlow","KY",2,0,5,0,2,1,0,34,0,1,2,0,2,2,2,93,24,12102,1972,0,0,1968,0,0,0,51,0.136999994516373,0,0,3,1,0.0780000016093254,0,0,2601,41,0,5,5,2,0.881182074546814,NA,0.262999981641769,0,0,9,0.450508803129196,7,0.417461276054382,3
"25","Cotton","Norris","NH",0,0,1,0,0,1,0,5,0,1,1,0,2,0,1,93,25,2087,1972,0,0,1954,0,0,0,59,0.437000006437302,0,0,10,1,0.061999998986721,0,1,3481,8,0,2,2,0,0.255580753087997,NA,0.563000023365021,1,0,100,0.750508785247803,2,0.723184943199158,1
"26","Cranston","Alan","CA",7,0,17,1,7,5,0,64,2,4,10,0,14,7,10,93,26,12103,1972,1,1,1968,0,0,0,52,-0.368000000715256,0,1,3,0,0,0,0,2704,95,0,22,21,10,3.44644260406494,NA,0.241999998688698,0,0,9,0.0544911995530128,43,0.942945182323456,3
"27","Curtis","Carl","NE",0,0,5,0,0,1,0,44,0,1,1,0,1,0,1,93,27,2267,1972,0,0,1954,0,0,0,53,0.50900000333786,0,0,10,0,0,0,0,2809,50,0,2,2,0,0.489216804504395,NA,0.634999990463257,1,0,100,0.822508811950684,3,0.723184943199158,2
"28","Dole","Robert","KS",1,0,2,0,1,3,0,44,1,3,1,0,1,1,1,93,28,10513,1972,0,0,1968,0,0,0,60,0.264999985694885,0,0,3,1,0.168999999761581,0,0,3600,47,0,5,5,2,0.843062937259674,NA,0.390999972820282,1,0,9,0.578508794307709,5,0.417461276054382,3
"29","Domenici","Pete","NM",1,0,5,1,1,2,0,33,2,2,0,0,0,0,0,93,29,14103,1972,0,0,1972,0,0,0,54,0.207000002264977,0,0,1,0,0,0,0,2916,38,0,3,3,3,0.51121574640274,NA,0.333000004291534,0,1,1,0.520508825778961,2,0.330111652612686,3
